Time,Substream_ID,<ticker>,<vol>,<close>,Critical
35652,49,CPLA,4803,56.74,False
35653,49,CPLP,100,8.39,False
35654,49,CPRT,31398,34.05,False
35655,49,CPSI,200,47.11,False
35656,49,CPST,700,0.7898,False
35657,49,CPWR,5467,10.61,False
35658,49,CRAI,100,22.5,False
35659,49,CRAY,2000,7.28,False
35660,49,CREE,30757,66.86,False
35661,49,CRESY,1200,19.0001,False
35662,49,CRIS,200,1.71,False
35663,49,CRME,1274,4.99,False
35664,49,CRMT,300,25.38,False
35665,49,CRNT,700,11.01,False
35666,49,CROX,12075,18.0,False
35667,49,CRRC,700,14.11,False
35668,49,CRUS,52633,15.3798,False
35669,49,CRVL,600,46.25,False
35670,49,CRWN,800,2.655,False
35671,49,CRZO,5480,29.9,False
35672,49,CSBK,200,9.48,False
35673,49,CSCO,663273,19.335,False
35674,49,CSFL,700,7.18,False
35675,49,CSGP,1046,54.4,False
35676,49,CSGS,1300,19.15,False
35677,49,CSII,400,8.88,False
35678,49,CSIQ,7435,13.09,False
35679,49,CSPI,800,4.77,False
35680,49,CSUN,500,4.42,False
35681,49,CSWC,100,99.45,False
35682,49,CTAS,4589,27.78,False
35683,49,CTBI,300,28.21,False
35684,49,CTCM,600,22.87,False
35685,49,CTCT,1566,26.49,False
35686,49,CTIB,3250,5.9125,False
35687,49,CTIC,47201,0.385,False
35688,49,CTRN,1700,23.52,False
35689,49,CTRP,27622,43.83,False
35690,49,CTSH,6295,66.77,False
35691,49,CTWS,100,25.29,False
35692,49,CTXS,7912,69.32,False
35693,49,CVBF,700,8.0,False
35694,49,CVCO,1400,37.25,False
35695,49,CVCY,600,5.55,False
35696,49,CVGI,4590,14.79,False
35697,49,CVGW,500,23.365,False
35698,49,CVLT,1935,29.58,False
35699,49,CVTI,1000,8.73,False
35700,49,CWCO,500,8.84,False
35701,49,CWST,1895,4.39,False
35702,49,CXDC,100,5.49,False
35703,49,CY,8423,16.46,False
35704,49,CYAN,2500,3.0463,False
35705,49,CYBE,200,8.25,False
35706,49,CYBX,200,27.04,False
35707,49,CYCC,2300,1.84,False
35708,49,CYNO,800,9.825,False
35709,49,CYOU,1000,29.71,False
35710,49,CYTK,600,2.23,False
35711,49,CYTR,825,1.04,False
35712,49,CYTX,6100,4.64,False
35713,49,DAIO,100,5.68,False
35714,49,DAKT,930,14.03,False
35715,49,DARA,100,2.29,False
35716,49,DCOM,6300,13.56,False
35717,49,DCTH,1900,10.15,False
35718,49,DENN,10800,3.76,False
35719,49,DEPO,100,5.44,False
35720,49,DEST,100,38.13,False
35721,49,DFZ,100,11.59,False
35722,49,DGICA,100,14.88,False
35723,49,DGII,700,9.99,False
35724,49,DGLY,1000,1.59,False
35725,49,DHIL,100,72.89,False
35726,49,DIOD,900,25.09,False
35727,49,DISCA,9420,41.39,False
35728,49,DISCK,8700,36.12,False
35729,49,DISH,18697,18.43,False
35730,49,DLTR,7900,55.59,False
35731,49,DMLP,100,27.5,False
35732,49,DMND,600,47.2499,False
35733,49,DMRC,100,28.1,False
35734,49,DNDN,10650,37.1901,False
35735,49,DORM,700,41.32,False
35736,49,DRAD,200,2.14,False
35737,49,DRAM,111,2.0707,False
35738,49,DRIV,1500,38.19,False
35739,49,DRRX,10200,3.13,False
35740,49,DRWI,18014,7.6805,False
35741,49,DRYS,114509,5.1978,False
35742,49,DSCO,66300,0.2043,False
35743,49,DSPG,569,7.94,False
35744,49,DSWL,100,3.19,False
35745,49,DTSI,1590,48.85,False
35746,49,DTV,62741,41.755,False
35747,49,DVAX,100,2.02,False
35748,49,DWA,14000,31.23,False
35749,49,DWSN,200,28.97,False
35750,49,DXCM,1300,11.88,False
35751,49,DXPE,600,22.26,False
35752,49,DYAX,1300,2.17,False
35753,49,EBAY,61723,29.43,False
35754,49,EBIX,8345,21.06,False
35755,49,EBSB,100,10.84,False
35756,49,EBTC,2200,11.45,False
35757,49,ECHO,800,11.71,False
35758,49,ECOL,100,16.16,False
35759,49,ECPG,800,19.39,False
35760,49,EDAP,5800,4.05,False
35761,49,EDMC,4200,14.03,False
