Time,Substream_ID,timestamp,jobId,machineId,status,priority,Critical
406,27,5026384927,6251983768,711701,4,0,True
407,28,602571674,6251537638,4566447404,4,2,False
408,28,772862354,6251675508,4566447404,1,2,False
409,28,906770403,6251675508,4566447404,4,2,False
410,28,1586401854,6251480469,4566447404,4,2,False
411,28,1601631021,6251753305,4566447404,1,2,False
412,28,1729639942,6251753305,4566447404,4,2,False
413,28,2151674042,6251795690,4566447404,1,2,False
414,28,2178767070,6251803864,4566447404,1,2,False
415,28,2467329177,6251841674,4566447404,1,2,False
416,28,2574533322,6251841674,4566447404,5,2,False
417,28,2703761861,6251795690,4566447404,4,2,False
418,28,2789565954,6251860459,4566447404,1,2,False
419,28,2944659482,6251860459,4566447404,4,2,False
420,28,3143266597,6251803864,4566447404,4,2,False
421,28,3413246135,6251892565,4566447404,1,2,False
422,28,4001791069,6251892565,4566447404,4,2,True
423,29,602571838,6251537638,2197654082,4,2,False
424,29,1442211276,6251726235,2197654082,1,2,False
425,29,1601628661,6251753305,2197654082,1,2,False
426,29,1710399359,5966089485,2197654082,1,0,False
427,29,1746457185,6251753305,2197654082,4,2,False
428,29,2151676269,6251795690,2197654082,1,2,False
429,29,2178753968,6251803864,2197654082,1,2,False
430,29,2229602414,5402488769,2197654082,1,0,False
431,29,2639270882,6251795690,2197654082,4,2,False
432,29,2847190835,6251803864,2197654082,4,2,False
433,29,2852997692,6251866953,2197654082,1,2,False
434,29,2863582001,6250345153,2197654082,4,0,False
435,29,3051641231,6251866953,2197654082,4,2,False
436,29,3147523483,6251726235,2197654082,5,2,False
437,29,3527456081,6251899333,2197654082,1,2,False
438,29,3551561806,6251904229,2197654082,1,2,False
439,29,3684887000,6251899333,2197654082,4,2,False
440,29,3939594911,6251921741,2197654082,1,2,False
441,29,4001791229,6251904229,2197654082,4,2,False
442,29,4188144440,6251933641,2197654082,1,2,False
443,29,4207128702,6251938667,2197654082,1,0,False
444,29,4358795343,6251938667,2197654082,4,0,False
445,29,4536178705,6251959681,2197654082,1,2,False
446,29,4590796573,6251921741,2197654082,4,2,False
447,29,4853937652,6251974185,2197654082,1,2,False
448,29,5120903302,6251959681,2197654082,4,2,True
449,30,602572037,6251537638,4477478606,4,2,False
450,30,1256691821,6251539840,4477478606,4,2,False
451,30,1426229335,6251722714,4477478606,1,2,False
452,30,1601624751,6251753305,4477478606,1,2,False
453,30,1746457533,6251753305,4477478606,4,2,False
454,30,1813116318,6251722714,4477478606,4,2,False
455,30,2126552423,6251784165,4477478606,1,2,False
456,30,2169348620,6251784165,4477478606,3,2,False
457,30,2178752007,6251803864,4477478606,1,2,False
458,30,2205332143,6251812952,4477478606,1,2,False
459,30,2223258677,6221861800,4477478606,1,0,False
460,30,3098265691,6251803864,4477478606,4,2,False
461,30,3853058484,6251915193,4477478606,1,2,False
462,30,4034373787,6251915193,4477478606,4,2,False
463,30,4841047678,6251969145,4477478606,1,2,False
464,30,4853932003,6251974185,4477478606,1,2,False
465,30,5323489135,6252011001,4477478606,1,2,False
466,30,5341694042,6251812952,4477478606,4,2,False
467,30,5364918349,6251969145,4477478606,4,2,False
468,30,5412007683,6251974185,4477478606,4,2,False
469,30,5588051340,6252011001,4477478606,4,2,True
470,31,602572072,6251537638,17014373,4,2,False
